county_fips,cdd_annual,hdd_annual
29073,1453,3967
29075,1292,4766
29077,1500,3743
29079,1248,4785
29081,1238,4910
29083,1529,3981
29085,1514,3866
29087,1406,4626
29089,1450,4236
29091,1484,3422
29093,1237,3852
29095,1530,4135
29097,1793,3439
29099,1509,3757
29101,1472,4103
29103,1194,4887
29105,1471,3755
29107,1443,4269
29109,1559,3649
29111,1221,4837
29113,1342,4284
29115,1258,4720
29117,1299,4682
29119,1829,3255
29121,1272,4672
29123,1362,3756
29125,1522,3745
29127,1303,4623
29129,1178,5028
29131,1634,3638
29133,1839,3186
29135,1520,3958
29137,1244,4601
29139,1350,4267
29141,1477,3944
29143,1925,3088
29145,1852,3276
29147,1255,4929
29149,1574,3359
29151,1563,3826
29153,1523,3457
29155,2059,2872
29157,1499,3784
29159,1441,4132
29161,1429,3801
29163,1284,4445
29165,1520,4274
29167,1626,3673
29169,1599,3608
29171,1123,5087
29173,1302,4495
29175,1331,4510
29177,1381,4462
29179,1294,3771
29181,1685,3275
29183,1534,3948
29185,1595,3831
29186,1417,3817
29187,1322,3819
29189,1625,3820
29195,1441,4278
29197,1151,4997
29199,1181,4950
29201,1771,3323
29203,1418,3615
29205,1192,4815
29207,1789,3294
29209,1535,3634
29211,1178,4906
29213,1571,3510
29215,1351,3799
29217,1666,3750
29219,1390,4138
29221,1303,3847
29223,1490,3568
29225,1302,3933
29227,1222,5001
29229,1318,3831
29510,1724,3745
30001,67,9134
30003,549,6907
30005,450,8110
30007,274,7796
30009,323,7493
30011,677,7256
30013,323,7622
30015,472,7619
30017,782,7049
30019,451,8842
30021,648,7775
30023,51,9329
30025,668,7497
30027,414,7539
30029,117,8466
30031,126,8536
30033,716,7332
30035,151,8756
30037,410,7250
30039,74,8907
30041,426,8441
30043,179,8242
30045,230,8137
30047,271,7456
30049,173,8287
30051,384,8244
30053,174,7918
30055,693,7724
30057,119,8572
30059,147,8601
30061,186,8114
30063,160,8153
30065,554,6956
30067,96,8727
30069,680,7017
30071,602,7898
30073,275,8143
30075,718,6912
